Student,LPIPS,SSIM
112318067.jpg,0.0,1.0
112318080.jpg,0.22862441837787628,0.8765583733185565
111C52018.jpg,0.32530179619789124,0.852030700961225
112598053.jpg,0.3429735004901886,0.8827779721395632
110598039.jpg,0.37519514560699463,0.8265438617166491
112598084.jpg,0.39475783705711365,0.8351941912181657
111598079.jpg,0.42870303988456726,0.8227911951148045
112598016.jpg,0.4357818067073822,0.8325372971940873
